id,palabra,word,valencia_m,valencia_sd,activacion_m,activacion_sd,concrecion_m,concrecion_sd,imaginabilidad_m,imaginabilidad_sd,disponiblidad_contextual_m,disponibilidad_contextual_sd,familiaridad_m,familiaridad_sd,categoria_palabra
909,"miedoso","scary",3.10,1.29,6.71,1.79,4.67,1.80,2.80,1.96,4.87,1.77,5.52,1.72,1
910,"miel","honey",5.76,0.83,3.24,1.87,6.65,0.59,6.68,0.57,5.45,1.92,6.33,1.15,1
911,"miembro","member",5.10,1.09,4.59,2.11,3.68,2.01,3.64,2.04,4.55,1.76,5.33,1.49,1
912,"militar","military",3.71,1.61,5.78,1.81,4.55,1.95,6.38,0.86,5.14,1.96,5.35,1.69,1
913,"millonaria","millionaire",6.93,1.54,6.04,2.36,4.45,1.97,3.95,1.99,4.62,2.16,4.95,2.04,1
914,"mimo","mime",6.71,1.38,3.00,2.07,5.52,1.36,5.76,1.58,4.90,2.59,5.10,1.58,1
915,"mina","mine",3.55,1.44,5.86,2.27,5.29,1.62,6.09,1.27,4.45,2.52,4.82,1.53,1
916,"minifalda","miniskirt",5.75,1.16,4.75,1.71,6.00,0.89,6.48,1.17,5.09,2.14,5.82,1.26,1
917,"ministra","minister",3.92,1.79,5.60,1.82,5.43,1.47,4.40,1.98,4.45,2.20,5.48,1.72,1
918,"misil","missile",2.70,1.38,7.10,1.45,6.23,0.75,5.85,1.31,4.09,2.15,4.48,1.72,1
919,"misterio","mystery",5.32,1.49,6.60,2.30,3.14,1.73,1.95,1.36,3.91,2.00,5.33,1.49,1
920,"mochila","backpack",5.35,0.71,3.95,1.73,6.45,0.60,6.86,0.35,6.64,0.66,6.82,0.39,1
921,"moco","mucus",3.77,1.57,4.80,1.79,6.05,1.12,6.60,0.99,6.00,1.35,6.52,0.81,1
922,"modista","dressmaker",6.04,1.26,3.91,1.68,5.82,1.18,5.33,1.65,4.76,1.76,3.95,1.69,1
923,"modular","modular",4.85,0.37,3.95,1.62,2.45,1.39,2.00,1.67,1.95,1.28,3.24,2.00,1
924,"molde","mold",5.25,1.07,3.68,1.76,3.85,1.84,6.24,0.83,6.05,1.17,5.14,1.53,1
925,"molino","mill",5.00,0.97,3.38,1.86,6.05,1.47,6.68,0.57,4.91,2.09,5.24,1.70,1
926,"mona","mona",5.90,1.07,4.15,2.37,5.33,1.49,6.50,0.96,5.55,1.50,5.50,1.70,1
927,"monarquía","monarchy",3.36,1.71,5.05,2.42,5.73,1.70,3.68,2.17,3.95,2.13,5.40,1.76,1
928,"monasterio","monastery",4.20,1.40,3.10,2.13,5.62,1.40,6.26,1.14,4.67,2.14,4.05,2.01,1
929,"monitor","monitor",5.36,1.36,3.95,1.50,5.23,1.45,6.10,1.29,6.20,1.15,6.09,1.19,1
930,"monje","monk",4.50,1.57,4.14,1.83,6.30,0.73,5.91,1.27,5.14,1.98,5.41,1.30,1
931,"montaje","assembly",4.96,1.04,5.52,1.99,3.15,1.46,3.45,2.20,4.10,2.34,4.60,1.93,1
932,"montón","heap",5.18,0.96,4.00,1.95,2.50,1.68,4.00,1.88,4.23,1.95,6.05,1.53,1
933,"monumento","monument",5.86,1.25,4.10,1.77,4.45,1.54,5.95,1.02,5.18,2.02,5.70,1.34,1
934,"moño","bun",5.80,1.36,3.95,1.70,5.33,1.88,6.64,0.79,5.41,1.92,6.05,1.73,1
935,"mora","arrears",5.30,1.08,4.05,1.56,5.43,1.99,6.68,0.72,5.05,2.33,5.86,1.77,1
936,"mordisco","bite",4.45,2.06,6.95,1.23,5.75,1.33,5.90,1.37,5.82,1.47,6.18,1.10,1
937,"morena","brunette",5.85,1.42,4.25,2.24,4.60,1.88,5.57,1.33,6.05,1.96,6.43,1.12,1
938,"moribundo","dying",1.64,0.85,5.60,2.30,5.32,1.46,5.50,1.41,5.17,2.12,4.81,1.78,1
939,"motivo","reason",5.48,1.27,4.86,1.67,2.25,1.52,1.61,0.94,2.73,1.93,6.55,0.94,1
940,"moto","bike",5.31,1.52,6.15,1.84,6.29,1.01,6.85,0.49,6.09,1.51,6.65,0.59,1
941,"motosierra","chainsaw",3.86,1.70,6.55,1.97,6.85,0.37,6.55,0.94,5.25,2.10,5.38,1.77,1
942,"móvil","mobile",6.62,1.56,5.64,1.87,6.23,1.02,6.57,1.33,6.80,0.70,7.00,0.00,1
943,"movimiento","movement",5.32,1.36,5.50,1.96,3.85,1.73,4.62,1.53,4.75,2.19,6.70,0.66,1
944,"muelle","spring",5.45,0.74,3.10,1.83,5.10,1.89,6.09,1.41,4.70,2.41,5.45,1.74,1
945,"muestra","sample",5.33,0.80,4.10,1.45,2.32,1.43,3.57,1.89,4.09,2.20,5.50,1.73,1
946,"municipio","municipality",4.86,0.91,3.65,1.66,5.24,1.73,4.27,1.72,4.73,1.88,5.14,1.67,1
947,"muñeca","wrist",5.57,1.25,3.59,1.59,5.52,1.86,6.68,0.78,5.70,2.15,6.33,1.24,1
948,"muñeco","doll",5.48,1.04,3.90,1.77,4.67,1.77,6.75,0.72,6.05,1.40,5.67,1.20,1
949,"músculo","muscle",5.60,1.35,4.77,2.11,5.48,1.47,5.64,1.40,5.68,1.55,6.59,0.73,1
950,"musculoso","muscular",5.86,0.91,4.95,1.91,5.50,1.47,6.38,0.80,6.05,1.29,5.35,1.35,1
951,"mutilación","mutilation",1.32,0.78,7.60,2.30,4.25,1.77,3.65,2.18,3.61,2.23,4.45,2.01,1
952,"mutilado","maimed",1.41,0.59,7.50,1.93,5.23,1.74,5.48,1.73,3.59,2.26,4.23,2.07,1
953,"nacimiento","birth",8.65,0.67,5.91,2.47,4.15,2.13,5.85,1.35,6.39,1.03,6.35,0.99,1
954,"nación","nation",5.32,1.62,5.35,1.93,4.05,2.01,4.45,1.67,4.50,2.06,5.10,1.52,1
955,"nadadora","swimmer",6.25,1.37,3.80,2.09,6.14,0.91,6.48,0.81,5.95,1.84,5.62,1.32,1
956,"nariz","nose",4.90,1.07,3.23,1.63,6.45,1.18,6.90,0.45,6.14,1.64,6.86,0.36,1
957,"naufragio","shipwreck",2.00,1.11,6.40,2.04,5.55,1.76,5.52,1.25,4.21,2.17,4.36,1.94,1
958,"náusea","nausea",2.13,1.15,6.19,2.09,4.77,1.82,4.71,1.52,5.00,2.18,5.00,1.55,1
959,"navaja","knife",2.35,1.50,7.41,2.17,6.45,1.00,6.43,0.81,4.70,2.40,4.68,1.78,1
960,"navajero","navajero",2.85,1.83,6.90,1.92,5.95,1.02,3.65,2.18,2.73,1.98,3.32,1.84,1
961,"navidad","Christmas",6.20,1.82,5.05,2.77,4.80,2.33,5.70,1.42,6.55,1.00,6.30,0.98,1
962,"necesitar","need",5.00,1.75,5.95,1.70,2.67,1.68,2.10,1.02,4.92,2.22,6.45,0.76,2
963,"negro","black",4.95,1.17,3.86,1.77,6.29,0.96,6.67,0.73,5.05,2.61,6.43,1.21,3
964,"nervio","nerve",4.42,1.77,7.43,1.80,4.05,1.85,4.29,1.85,4.50,2.24,5.65,1.39,1
965,"neurótico","neurotic",3.59,1.10,6.55,1.67,4.74,1.63,2.70,1.55,3.64,2.06,5.45,1.50,1
966,"niebla","fog",4.59,1.68,4.00,2.10,5.73,1.35,6.41,0.67,4.50,2.13,6.09,1.38,1
967,"nieta","granddaughter",6.73,1.69,3.60,1.82,6.48,1.03,3.65,2.08,5.23,1.80,6.04,1.49,1
968,"niña","girl",6.64,1.19,4.00,2.04,5.23,1.74,6.90,0.30,6.43,1.21,6.77,0.87,1
969,"niño","child",7.05,1.28,5.30,2.23,5.85,1.27,6.80,0.41,6.50,1.05,6.71,0.64,1
970,"nitrógeno","nitrogen",5.04,1.15,4.45,2.24,4.65,2.08,2.91,2.13,3.50,2.30,4.23,1.95,1
971,"noción","notion",5.41,0.73,3.40,1.82,2.90,1.65,1.20,0.41,2.65,1.92,4.82,1.92,1
972,"novedad","novelty",6.95,1.25,6.45,2.06,2.65,1.42,2.32,1.36,5.14,1.91,5.65,1.63,1
973,"novio","boyfriend",6.55,1.67,6.09,2.56,6.14,0.73,5.23,2.02,6.41,0.96,6.64,0.79,1
974,"obispo","bishop",3.32,1.62,3.90,2.51,6.65,0.59,5.64,1.53,4.09,2.27,5.32,1.84,1
975,"objeto","object",4.95,0.69,3.62,1.72,1.73,1.75,4.00,2.27,3.86,1.52,6.39,1.47,1
976,"obsesión","obsession",2.75,1.89,6.36,1.65,2.36,1.40,2.70,1.30,4.30,2.18,6.00,1.23,1
977,"olvido","forgot",2.35,1.27,5.30,2.64,2.60,1.70,2.40,1.27,3.45,1.77,5.55,1.54,1
978,"ombligo","belly button",5.23,1.07,3.10,1.83,6.55,1.01,6.86,0.35,5.50,2.04,6.36,1.05,1
979,"opio","opium",3.88,1.87,4.05,2.01,5.29,2.05,3.24,2.10,2.65,2.43,3.38,1.32,1
980,"oportunidad","opportunity",7.90,1.14,4.82,1.99,3.40,2.09,3.24,2.00,4.59,2.11,6.45,1.15,1
981,"oposición","opposition",4.43,1.62,6.23,2.05,3.65,1.73,2.78,1.57,4.36,1.99,5.70,1.66,1
982,"optimismo","optimism",7.83,0.94,4.60,3.08,3.05,1.94,2.80,1.58,3.91,1.87,6.20,1.01,1
983,"oración","prayer",4.33,1.28,3.45,1.70,3.24,1.79,3.45,1.57,4.64,2.24,5.67,1.39,1
984,"orfanato","orphanage",1.73,0.83,6.10,2.10,6.10,1.55,5.40,1.85,5.04,2.08,4.52,1.97,1
985,"órgano","organ",4.91,0.87,5.60,1.73,4.62,1.99,5.68,1.32,5.00,1.92,5.62,1.47,1
986,"orgasmo","orgasm",8.15,1.27,7.36,2.44,5.00,1.95,4.00,2.29,6.14,1.52,6.23,1.23,1
987,"otoño","autumn",5.19,1.86,3.40,2.11,4.95,2.11,6.19,0.98,6.59,0.67,6.35,1.39,1
988,"paciente","patient",4.95,1.53,4.00,1.93,5.10,1.51,5.00,1.80,5.70,1.38,5.81,0.93,1
989,"pacto","pact",5.63,1.38,5.43,1.40,2.55,1.36,3.05,1.79,4.90,2.02,5.60,1.64,1
990,"página","page",5.15,0.99,3.68,1.99,5.71,1.62,6.23,0.97,5.65,1.82,6.68,0.89,1
991,"pala","shovel",4.38,1.02,3.50,1.64,5.19,1.63,6.50,1.24,4.95,2.19,5.18,1.79,1
992,"palma","palm",5.00,0.56,3.86,1.67,4.55,1.92,5.85,1.39,5.75,1.55,5.67,1.20,1
993,"pamela","pamela",5.70,1.34,4.35,1.95,5.00,1.95,6.05,0.92,4.05,2.32,4.29,2.03,1
994,"panadera","baker",5.93,1.15,3.83,2.01,5.91,1.31,6.38,0.80,5.95,1.56,5.90,1.48,1
995,"pánico","panic",2.20,0.89,7.35,1.60,3.05,1.56,3.90,1.89,5.32,1.52,5.14,1.75,1
996,"pantano","swamp",5.32,1.49,4.70,2.30,5.86,1.08,5.95,1.17,5.59,1.68,5.59,1.44,1
997,"pañuelo","handkerchief",4.26,0.96,3.95,2.19,6.30,1.03,6.82,0.39,6.14,1.42,6.33,1.20,1
998,"papa","Pope",7.00,2.05,4.50,1.92,5.40,1.82,6.43,1.12,6.05,1.73,6.50,0.80,1
999,"papel","paper",5.32,0.95,3.73,1.55,5.15,2.01,6.91,0.29,6.55,1.10,6.40,1.31,1
1000,"paracaídas","parachute",6.65,1.60,6.86,2.47,6.90,0.30,6.73,0.55,4.91,2.54,5.43,1.78,1
1001,"paraguas","umbrella",3.15,1.63,5.30,1.87,6.29,1.01,7.00,0.00,6.64,0.66,6.50,0.89,1
1002,"pared","wall",4.77,0.61,3.45,1.76,6.32,0.95,6.55,1.00,6.00,1.54,6.52,1.17,1
1003,"parque","park",7.18,1.16,3.35,2.37,4.55,1.82,6.81,0.68,6.19,1.17,6.76,0.54,1
1004,"párrafo","paragraph",4.80,0.52,4.05,1.47,5.41,1.40,5.75,1.68,4.59,1.94,6.23,1.11,1
1005,"partera","midwife",4.85,1.42,6.00,2.08,4.90,1.64,2.64,1.89,2.68,1.73,2.74,1.68,1
1006,"parto","delivery",7.39,2.15,7.64,1.29,5.45,1.77,6.05,1.24,6.23,1.54,4.85,2.08,1
1007,"pasado","past",5.50,2.22,5.30,2.03,2.60,1.76,3.15,1.87,5.86,1.46,6.14,1.73,3
1008,"pase","pass",4.90,1.04,3.75,1.68,3.10,1.52,4.83,2.19,4.05,2.14,4.85,1.84,1
1009,"pasillo","aisle",4.70,1.03,3.77,1.69,5.70,1.26,6.32,0.89,4.36,2.11,6.10,1.26,1
1010,"pasión","passion",7.96,0.98,6.70,3.03,2.95,1.85,4.05,1.79,5.86,1.55,6.55,1.19,1
1011,"pasividad","passivity",3.80,1.40,3.27,2.12,2.85,1.60,2.22,1.41,3.74,2.40,5.00,1.56,1
1012,"pasta","pasta",5.95,1.25,4.82,1.89,3.70,1.72,6.59,0.67,6.30,1.56,6.90,0.30,1
1013,"pastor","pastor",5.10,0.85,3.36,1.56,6.09,1.23,6.45,0.76,4.80,2.44,5.73,1.49,1
1014,"pata","leg",4.90,0.54,3.30,1.89,5.09,1.87,6.60,0.75,5.30,2.32,5.91,1.44,1
1015,"patente","patent",5.14,0.91,4.27,1.70,3.95,1.76,1.83,0.94,2.86,1.75,3.95,1.50,1
1016,"patinadora","skater",6.12,1.45,4.70,2.05,6.19,0.93,5.85,1.60,5.68,1.62,5.05,1.86,1
1017,"patrón","pattern",4.70,0.86,4.18,1.50,3.62,1.88,3.95,2.34,3.80,1.99,4.50,1.64,1
1018,"patronato","patronage",4.80,0.52,3.45,1.74,4.43,1.90,2.87,2.28,2.32,1.89,2.10,1.58,1
1019,"pausa","pause",5.29,1.38,2.35,1.42,4.14,2.23,2.74,1.63,4.95,2.52,5.55,1.37,1
1020,"pausado","paused",4.86,1.25,2.68,1.52,3.95,1.54,2.48,1.91,3.36,2.08,4.77,1.77,1
1021,"pavimento","pavement",4.68,0.84,3.75,1.65,5.00,1.48,5.05,1.86,3.00,2.02,4.30,2.13,1
1022,"peca","sins",5.45,1.70,3.25,1.71,5.29,2.12,6.05,1.17,5.45,1.84,5.14,1.68,1
1023,"pecado","sin",4.08,1.89,4.81,2.58,3.77,1.60,2.18,1.74,4.00,2.47,5.30,1.34,1
1024,"pecar","to sin",3.27,1.58,6.45,1.99,4.05,1.86,2.04,1.58,4.32,1.94,5.15,1.63,2
1025,"pedazo","piece",4.90,1.18,4.05,2.01,3.45,1.95,4.43,1.99,4.09,1.93,5.64,0.85,1
1026,"pediatra","pediatrician",5.77,1.61,3.60,1.96,6.48,0.81,5.40,1.79,5.64,1.53,5.05,2.19,1
1027,"pedófilo","pedophile",1.14,0.35,8.00,0.86,5.50,1.71,3.10,2.29,3.52,2.43,4.05,2.27,1
1028,"peinado","hairstyle",6.45,1.23,3.75,1.97,3.71,1.65,6.05,1.40,6.23,1.41,6.59,0.96,1
1029,"peligro","danger",2.50,1.19,7.36,1.65,2.90,2.13,3.33,1.28,5.14,1.67,6.00,1.62,1
1030,"pelota","ball",6.04,1.46,4.15,2.56,5.91,1.51,7.00,0.00,6.55,0.91,6.38,0.92,1
1031,"peluca","wig",4.68,1.25,3.87,2.22,6.36,0.58,6.71,0.72,4.62,2.20,5.40,1.79,1
1032,"peluquera","hairdresser",5.60,0.99,4.15,1.95,6.29,0.85,6.43,1.25,6.50,0.91,6.48,1.21,1
1033,"peluquero","hairdresser",5.55,1.05,4.45,2.11,6.14,1.01,6.52,1.12,6.32,1.36,6.10,1.34,1
1034,"pendiente","slope",5.33,1.11,4.45,1.96,4.95,2.01,6.45,1.01,6.20,1.11,5.86,1.73,1
1035,"pene","penis",5.77,1.48,6.60,1.96,6.82,0.39,6.87,0.34,5.95,1.43,6.43,1.21,1
1036,"penetración","penetration",5.95,1.99,7.55,1.43,4.80,1.82,4.82,2.34,6.18,1.47,6.38,0.80,1
1037,"pensión","pension",4.85,1.50,4.30,1.69,4.10,1.37,4.35,1.63,3.50,2.18,5.68,1.59,1
1038,"perdición","perdition",2.74,1.29,5.91,2.37,2.86,1.36,2.23,1.97,3.95,2.40,4.52,1.44,1
1039,"pérdida","loss",1.55,0.96,7.80,1.15,2.40,1.73,3.09,2.00,5.75,1.54,6.25,1.52,1
1040,"perdido","lost",2.70,1.30,6.29,1.79,3.60,1.35,2.80,1.58,4.80,1.47,6.05,1.09,3
1041,"perezoso","lazy",4.60,1.23,2.24,1.37,5.17,1.59,4.83,1.80,5.00,1.77,6.33,0.73,1
1042,"perfil","profile",5.19,0.51,4.50,1.60,3.48,1.40,4.00,1.83,5.50,2.12,6.05,1.46,1
1043,"periódico","newspaper",5.61,1.10,4.04,2.03,5.32,1.91,6.90,0.30,6.24,0.94,6.65,0.78,3
1044,"persecución","persecution",2.73,1.49,7.25,2.40,4.05,1.82,4.80,1.91,4.74,2.16,4.35,2.35,1
1045,"perversión","perversion",2.55,1.63,7.95,1.15,3.71,1.62,2.80,1.24,3.67,1.95,3.85,1.79,1
1046,"pervertido","perverted",2.23,2.07,6.95,1.32,5.04,1.64,4.17,2.23,4.45,2.22,5.55,1.53,1
1047,"pesadilla","nightmare",2.09,1.02,7.05,1.54,4.38,1.69,3.57,1.47,5.27,1.75,6.18,1.18,1
1048,"pesimismo","pessimism",2.09,1.04,7.30,1.34,4.36,1.84,2.43,1.47,3.50,1.85,5.64,1.26,1
1049,"pesimista","pessimistic",2.23,0.91,4.95,2.54,4.76,2.23,2.55,1.82,3.23,2.14,5.65,1.92,1
1050,"petróleo","oil",3.77,1.66,4.75,2.17,6.45,0.74,5.75,1.48,5.09,1.95,5.75,1.52,1
1051,"picaresca","picaresque",5.73,1.28,5.50,2.01,3.45,1.97,2.22,1.38,2.73,1.83,3.64,1.94,1
1052,"pie","foot",4.90,0.62,3.81,1.78,6.27,1.35,6.86,0.47,6.27,1.45,6.55,0.76,1
1053,"pieza","piece",4.85,0.49,3.86,1.82,4.09,2.20,4.95,1.81,5.05,2.06,5.55,1.96,1
1054,"pila","stack",4.90,0.94,4.27,2.07,5.33,2.13,6.55,1.28,5.15,2.03,5.95,1.36,1
1055,"piloto","pilot",5.35,1.35,5.95,2.09,5.19,1.40,6.20,1.20,6.00,1.35,5.95,1.33,1
1056,"pincel","brush",5.50,1.37,3.60,1.73,6.19,1.25,6.86,0.47,5.38,2.32,5.33,1.53,1
1057,"pinchazo","puncture",2.95,1.13,6.73,1.52,4.83,1.85,5.83,1.53,5.86,1.55,5.91,1.48,1
1058,"pino","pine",5.77,1.41,2.65,1.79,6.09,1.41,6.10,1.48,5.25,2.38,5.62,1.40,1
1059,"pinta","pint",5.05,1.20,3.68,1.99,3.32,1.59,3.23,2.39,4.65,2.41,4.85,2.18,1
1060,"pintora","painter",6.55,1.19,2.85,1.57,5.29,1.10,6.18,1.30,4.91,1.82,5.35,2.13,1
1061,"pipa","pipe",5.14,0.89,3.75,1.62,5.41,1.79,6.57,0.95,4.55,2.01,5.70,1.61,1
1062,"pirata","pirate",4.69,1.89,5.90,2.02,5.48,1.40,6.40,1.23,4.86,1.93,5.33,1.91,1
1063,"pirómano","arsonist",1.85,1.23,7.40,1.14,5.86,1.15,4.55,2.14,4.70,2.03,5.09,1.72,1
1064,"pista","track",5.00,1.22,4.10,1.92,2.90,2.05,4.20,2.19,4.85,2.46,5.52,1.54,1
1065,"placer","pleasure",8.39,0.99,6.05,3.30,2.85,2.03,4.76,2.00,6.23,1.19,6.55,0.89,1
1066,"placidez","placidity",6.87,1.32,4.32,3.17,3.68,1.89,2.32,1.70,3.23,2.02,3.48,1.69,1
1067,"plan","plan",5.73,1.42,6.00,1.38,3.14,1.88,2.65,1.61,3.83,2.04,6.00,1.18,1
1068,"plano","plane",4.85,0.75,3.23,1.51,4.24,2.07,4.95,1.66,4.50,2.02,5.62,1.16,3
1069,"plástico","plastic",4.45,1.06,3.85,1.79,4.90,1.83,5.65,1.42,4.71,2.26,6.43,0.87,3
1070,"plato","plate",5.55,0.86,3.36,1.89,5.09,2.09,6.96,0.21,6.05,1.73,6.75,0.72,1
1071,"pluma","pen",5.95,1.32,2.05,1.32,4.81,1.89,6.86,0.35,5.14,2.12,5.30,1.95,1
1072,"pobreza","poverty",1.48,0.59,7.35,1.66,3.70,1.98,3.64,1.79,6.14,0.99,6.50,1.00,1
1073,"poderío","power",5.27,1.91,6.00,2.05,2.36,1.22,2.13,1.06,3.79,2.06,4.35,1.97,1
1074,"poetisa","poet",6.12,1.70,3.35,2.21,6.05,1.12,2.75,2.02,3.36,2.22,4.36,1.89,1
1075,"polo","pole",5.27,0.94,4.00,1.95,4.64,1.76,6.10,1.34,5.00,1.97,5.10,1.68,1
1076,"pompa","pomp",5.91,1.02,4.32,1.89,5.14,1.74,6.41,1.37,4.95,2.14,3.65,2.28,1
1077,"porción","portion",5.27,0.77,3.95,1.61,3.29,1.65,5.55,1.43,4.70,2.05,4.32,1.64,1
1078,"pornografía","pornography",3.48,2.17,6.32,2.30,4.85,1.79,6.29,1.01,5.55,1.82,5.77,1.63,1
1079,"portería","goal",4.90,1.26,3.55,1.79,5.41,1.62,6.52,0.95,5.41,2.04,5.71,1.93,1
1080,"portero","goalie",5.09,0.61,3.60,1.96,5.50,1.14,6.41,0.73,5.80,1.28,6.05,1.46,3
1081,"pórtico","porch",5.42,1.45,3.50,2.04,5.62,1.40,5.40,1.64,3.27,2.12,2.50,1.60,1
1082,"posadera","innkeeper",4.95,1.36,4.20,1.70,4.00,1.92,4.18,2.08,2.91,2.20,2.91,1.72,1
1083,"posición","position",5.20,0.70,3.86,1.64,2.25,1.74,2.09,1.15,4.22,2.30,6.25,1.55,1
1084,"pozo","pit",4.22,1.38,5.55,2.56,6.45,0.69,6.85,0.49,5.77,1.74,5.48,1.78,1
1085,"precipicio","cliff",3.14,1.59,6.45,1.57,5.65,1.35,5.90,1.22,5.27,2.23,4.19,2.16,1
1086,"pregón","proclamation",4.76,1.34,3.65,2.03,5.13,1.98,5.17,2.08,4.23,2.27,3.57,1.96,1
1087,"premio","prize",7.68,0.94,6.30,2.42,4.23,2.00,4.81,1.89,5.10,2.05,6.27,0.98,1
1088,"prensa","press",4.70,1.34,4.18,1.65,4.20,2.07,6.19,1.33,5.75,1.55,6.25,1.25,1
1089,"preocupación","concern",2.21,1.18,7.24,2.21,3.75,2.15,2.81,1.12,4.95,1.88,6.75,0.55,1
1090,"presa","dam",3.50,1.30,5.09,2.02,3.91,1.97,5.18,1.74,4.45,2.50,4.52,1.78,1
1091,"presentador","presenter",5.70,1.30,5.20,1.74,4.57,1.63,6.00,1.45,5.86,1.55,6.05,1.13,1
1092,"presentadora","presenter",5.31,1.09,4.75,1.83,5.14,1.59,5.70,1.49,6.41,0.96,6.23,1.23,1
1093,"presente","present",6.87,1.29,5.10,2.53,2.95,1.76,3.19,2.02,4.73,2.00,6.35,1.09,1
1094,"preservativo","condom",6.17,1.44,5.36,2.13,6.50,0.95,6.82,0.39,6.36,1.00,5.77,1.60,1
1095,"presión","pressure",2.85,1.50,6.73,1.16,3.05,1.29,2.48,1.16,3.95,1.96,5.57,1.25,1
1096,"prima","bonus, cousin",6.31,1.35,4.35,1.81,4.62,2.01,4.25,2.22,5.95,1.33,6.64,0.95,1
1097,"primo","cousin",5.86,1.77,4.41,1.84,5.20,1.82,5.90,1.55,6.25,1.48,6.62,0.67,3
1098,"princesa","princess",6.40,2.06,4.85,2.18,5.48,1.17,6.23,0.97,5.64,1.99,6.04,1.40,1
1099,"prioridad","priority",5.36,1.18,5.20,2.02,2.90,1.86,2.20,1.32,5.27,1.88,6.35,0.88,1
1100,"prisión","prison",2.24,1.22,6.59,1.14,5.95,1.25,6.10,1.25,5.14,2.05,5.30,1.72,1
1101,"prisionero","prisoner",1.95,1.13,5.20,1.96,5.55,1.44,5.95,1.05,5.38,1.97,5.36,1.94,1
1102,"privación","deprivation",3.52,2.00,6.45,2.39,2.95,1.43,1.59,0.96,2.73,1.91,4.43,1.57,1
1103,"privilegio","privilege",6.50,1.87,5.24,2.39,3.40,2.11,2.27,1.83,4.15,1.98,6.10,1.29,1
1104,"probabilidad","probability",5.36,0.90,4.73,2.10,2.10,1.22,1.65,1.18,3.91,2.02,5.76,1.04,1
1105,"proceso","process",5.65,1.04,4.32,2.21,2.35,1.50,2.38,1.69,3.48,2.21,5.40,1.93,1
1106,"prodigio","prodigy",6.57,1.53,4.59,2.44,3.23,1.54,2.60,1.50,3.45,2.24,4.68,1.76,1
1107,"producto","product",5.14,1.28,3.85,1.60,3.45,2.16,4.55,2.18,4.86,2.10,5.60,1.79,1
1108,"profesora","teacher",6.10,1.21,4.65,2.06,5.05,1.43,6.52,0.81,6.64,0.58,6.95,0.21,1
1109,"programa","program",4.92,1.35,4.70,1.59,2.43,1.16,3.70,2.13,5.27,2.07,6.52,1.31,1
1110,"progreso","progress",6.41,1.50,4.30,1.66,3.15,1.66,2.10,1.41,3.30,1.98,5.57,1.43,1
1111,"prohibición","ban",2.71,1.33,6.67,2.27,3.71,2.03,3.23,1.72,5.10,1.77,5.86,1.39,1
1112,"propietario","owner",5.38,1.36,4.05,1.65,4.14,1.83,3.14,2.05,4.68,1.70,5.95,1.15,3
1113,"proporción","ratio",4.90,0.97,4.10,1.55,3.24,1.41,2.68,1.81,2.73,1.78,4.68,1.52,1
1114,"propuesta","proposal",6.09,1.20,4.68,2.12,2.95,1.64,2.25,1.41,4.95,1.70,5.25,1.71,1
1115,"prosperidad","prosperity",8.04,0.93,4.18,2.08,2.15,1.35,2.35,1.35,3.36,2.22,5.75,1.59,1
1116,"protegido","protected",7.59,1.10,2.45,2.35,3.65,1.76,1.90,0.97,4.13,1.91,5.59,1.33,1
1117,"provincia","province",4.95,1.16,4.14,1.42,4.68,1.52,4.50,2.06,4.45,1.95,6.25,1.12,1
1118,"provocación","provocation",4.42,1.82,7.71,1.31,3.05,1.61,3.10,1.37,4.40,1.76,5.82,1.22,1
1119,"psicóloga","psychologist",8.35,1.04,4.45,2.61,5.38,1.24,5.27,1.72,6.86,0.35,6.59,0.96,1
1120,"publicidad","advertising",5.35,1.35,4.00,2.18,4.00,1.72,5.71,1.45,6.13,1.52,6.60,0.75,1
1121,"publicista","publicist",5.50,1.40,5.45,1.39,4.81,1.44,3.85,1.63,3.41,1.92,5.65,1.56,1
1122,"puente","bridge",5.74,1.14,4.60,2.26,5.71,1.79,6.64,0.95,5.82,1.65,6.35,1.09,1
1123,"puerta","gate",5.00,0.44,4.41,1.44,6.55,0.60,6.82,0.50,6.59,0.96,6.86,0.35,1
1124,"puerto","port",6.30,1.36,3.65,2.58,5.86,1.82,5.90,1.17,5.91,1.15,6.05,1.23,1
1125,"pulsera","bracelet",5.87,1.10,4.15,1.87,6.65,0.59,6.50,0.91,6.18,1.44,6.62,1.16,1
1126,"puñal","dagger",2.36,1.40,7.05,1.43,6.18,1.01,6.70,0.47,4.04,2.25,4.91,1.80,1
1127,"puño","fist",3.20,1.32,6.55,2.56,6.32,0.78,6.40,1.39,5.30,2.08,5.91,1.34,1
1128,"pupila","pupil",5.30,0.92,4.05,1.84,6.55,0.83,6.09,1.48,5.00,2.45,5.43,1.36,1
1129,"pureza","purity",6.74,1.66,3.40,2.76,2.75,1.77,2.57,1.60,2.82,1.84,4.80,1.91,1
1130,"purgatorio","purgatory",3.57,2.06,5.23,2.22,4.41,2.15,2.82,1.59,2.82,2.02,4.04,2.23,1
1131,"puro","pure",4.85,2.13,3.55,2.31,4.15,2.54,4.77,2.54,4.35,2.35,5.57,1.90,3
1132,"queja","complaint",3.09,1.28,6.36,1.59,3.20,1.99,2.23,1.31,5.55,1.74,5.85,1.98,1
1133,"quemadura","burn",2.75,1.07,7.00,1.45,6.22,1.38,6.70,0.63,5.95,1.62,6.05,1.43,1
1134,"querida","darling",5.50,2.35,4.40,1.96,2.57,1.25,2.95,1.73,3.45,2.15,5.10,1.77,1
